fips,approval_prob,beta_alpha,beta_beta
19091,0.3797,15.19,24.81
19093,0.3785,15.14,24.86
19095,0.3993,15.97,24.03
19097,0.3984,15.94,24.06
19099,0.416,16.64,23.36
19101,0.4844,19.38,20.62
19103,0.5109,20.43,19.57
19105,0.3862,15.45,24.55
19107,0.3785,15.14,24.86
19109,0.3807,15.23,24.77
19111,0.3756,15.02,24.98
19113,0.4971,19.88,20.12
19115,0.4034,16.14,23.86
19117,0.3785,15.14,24.86
19119,0.4026,16.1,23.9
19121,0.3771,15.09,24.91
19123,0.3785,15.14,24.86
19125,0.4245,16.98,23.02
19127,0.4558,18.23,21.77
19129,0.4129,16.51,23.49
19131,0.3774,15.1,24.9
19133,0.3785,15.14,24.86
19135,0.4007,16.03,23.97
19137,0.3817,15.27,24.73
19139,0.43,17.2,22.8
19141,0.3785,15.14,24.86
19143,0.3861,15.44,24.56
19145,0.4066,16.26,23.74
19147,0.3885,15.54,24.46
19149,0.3777,15.11,24.89
19151,0.4066,16.26,23.74
19153,0.438,17.52,22.48
19155,0.375,15.0,25.0
19157,0.4468,17.87,22.13
19159,0.3874,15.5,24.5
19161,0.3874,15.5,24.5
19163,0.5008,20.03,19.97
19165,0.3792,15.17,24.83
19167,0.4118,16.47,23.53
19169,0.493,19.72,20.28
